Offer SKU;Product SKU;Category code;Category label;Product;Offer state;Price;Original price;Quantity;Alert threshold;Logistic Class;Activated;Available Start Date;Available End Date;Discount price;Discount Start Date;Discount End Date;EAN;Inactivity reason;Fulfillment center code
0005529207;M5056798454476;men-clothing-mens_jackets_and_coats;Mens Jackets & Coats;'Casa di Vero' Real Leather Brando Bomber Jacket;New;252.00;279.00;1;;INIT;yes;;;252.00;;;5056798454476;;DEFAULT
0003177800;M5060474522113;men-accessories-mens_bags_and_wallets;Mens Bags & Wallets;'Renato' Real Leather Vintage Flight Shoulder Bag;New;75.72;99.99;1;;INIT;yes;;;75.72;;;5060474522113;;DEFAULT
0005430700;M5056798414777;women-accessories-womens_bags_and_purses;Womens Bags & Purses;'Swansea' Real Leather Crossbody Bag;New;42.66;100.00;96;;INIT;yes;;;42.66;;;5056798414777;;DEFAULT
0002516309;M5056798423021;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;'Serefina' Real Leather Biker Jacket;New;239.00;239.00;2;;INIT;yes;;;;;;5056798423021;;DEFAULT
0005309800;M5061049604616;women-accessories-womens_bags_and_purses;Womens Bags & Purses;'Donegal' Practical Real Leather Shoulder Bag;New;78.66;149.00;39;;INIT;yes;;;78.66;;;5061049604616;;DEFAULT
0004413800;M5061027910326;men-accessories-mens_bags_and_wallets;Mens Bags & Wallets;'Logan' Real Leather Messenger Bag;New;56.52;74.95;9;;INIT;yes;;;56.52;;;5061027910326;;DEFAULT
0004558100;M5060999700539;women-accessories-womens_bags_and_purses;Womens Bags & Purses;'Rosea' Flap Over Croc Print Real Leather Shoulder Bag;New;39.99;49.99;6;;INIT;yes;;;39.99;;;5060999700539;;DEFAULT
0005197303;M5056798401920;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;'Fia' Real Leather Biker Jacket Women Coat;New;133.32;199.00;16;;INIT;yes;;;133.32;;;5056798401920;;DEFAULT
0005204000;M5061049608485;women-accessories-womens_bags_and_purses;Womens Bags & Purses;'Bliss' Leather Cross Body Bag with Adjustable Strap;New;39.99;74.99;12;;INIT;yes;;;39.99;;;5061049608485;;DEFAULT
0005390204;M5056798440554;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;'2420' Ladies Leather Aviator Jacket With Oversized Fur Collar;New;190.93;349.00;5;;INIT;yes;;;190.93;;;5056798440554;;DEFAULT
0001369202;M5056798404686;men-clothing-mens_jackets_and_coats;Mens Jackets & Coats;'Edinburgh' Real Leather Bomber Jacket;New;199.99;229.00;2;;INIT;yes;;;199.99;;;5056798404686;;DEFAULT
0005503805;M5056798452113;men-clothing-mens_jackets_and_coats;Mens Jackets & Coats;'Volare' Lightweight Real Leather Bomber Jacket;New;173.32;299.00;3;;INIT;yes;;;173.32;;;5056798452113;;DEFAULT
