Index,Image,Style,Colour,Offer SKU,SKURestockDate,StyleRestockDate,Cost Price,RRP,Sale Price,Stock,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Total Sold
51,https://www.leathercompany.co.uk/images/products/zoom/1727181227-11172500.jpg,audrey,BLACK,0005293000,2024-09-01,2024-09-01,8.95,99.99,29.99,261.0,2,84,39,15,140
51,https://www.leathercompany.co.uk/images/products/zoom/1727181227-11172500.jpg,audrey,BROWN,0005293100,2024-10-01,2024-09-01,8.95,99.99,29.99,135.0,0,36,14,5,55
51,https://www.leathercompany.co.uk/images/products/zoom/1727181227-11172500.jpg,audrey,COGNAC,0005293200,2024-10-01,2024-09-01,8.95,99.99,29.99,574.0,0,22,9,7,38
53,https://www.leathercompany.co.uk/images/products/zoom/1704807722-36970100.jpg,63624,BLACK,0004932300,2023-11-01,2023-11-01,-,120.00,54.99,8.0,7,42,24,8,81
53,https://www.leathercompany.co.uk/images/products/zoom/1704807722-36970100.jpg,63624,ICE GREY,0004932500,2023-11-01,2023-11-01,-,120.00,54.99,116.0,3,10,2,0,15
53,https://www.leathercompany.co.uk/images/products/zoom/1704807722-36970100.jpg,63624,cotwold navy,0004932400,2023-11-01,2023-11-01,-,120.00,54.99,102.0,4,7,6,1,18
54,https://www.leathercompany.co.uk/images/products/zoom/1679574824-20683900.jpg,mc 6,NAVY/CROC,0004558000,2024-11-01,2024-11-01,-,49.99,29.99,0.0,0,1,0,0,1
54,https://www.leathercompany.co.uk/images/products/zoom/1679574824-20683900.jpg,mc 6,brandy croc,0004558100,2024-11-01,2024-11-01,-,49.99,29.99,6.0,0,12,9,0,21
55,https://www.leathercompany.co.uk/images/products/zoom/1725454066-58654600.jpg,Beth,BLACK,0005269900,2024-09-01,2024-09-01,-,145.00,50.0,57.0,1,108,61,10,180
55,https://www.leathercompany.co.uk/images/products/zoom/1725454066-58654600.jpg,Beth,COGNAC,0005270000,2024-09-01,2024-09-01,-,145.00,50.0,173.0,1,30,17,9,57
56,https://www.leathercompany.co.uk/images/products/zoom/1739813040-40832400.jpg,bray,BLACK,0005310500,2024-10-01,2024-10-01,10.75,169.00,44.99,210.0,0,62,8,25,95
56,https://www.leathercompany.co.uk/images/products/zoom/1739813040-40832400.jpg,bray,BLUSH,0005435300,2025-04-01,2024-10-01,10.75,169.00,44.99,78.0,0,0,0,14,14
56,https://www.leathercompany.co.uk/images/products/zoom/1739813040-40832400.jpg,bray,COGNAC,0005310600,2024-10-01,2024-10-01,10.75,169.00,44.99,104.0,0,17,4,17,38
56,https://www.leathercompany.co.uk/images/products/zoom/1739813040-40832400.jpg,bray,FERN,0005435400,2025-03-01,2024-10-01,10.75,169.00,44.99,82.0,0,0,2,13,15
56,https://www.leathercompany.co.uk/images/products/zoom/1739813040-40832400.jpg,bray,HOT PINK,0005435500,2025-03-01,2024-10-01,10.75,169.00,44.99,85.0,0,0,2,10,12
57,https://www.leathercompany.co.uk/images/products/zoom/1669129377-88098500.jpg,63786 croc,BLK/CROC,0004507200,2024-06-01,2024-06-01,-,110.00,38.99,125.0,2,30,39,36,107
57,https://www.leathercompany.co.uk/images/products/zoom/1669129377-88098500.jpg,63786 croc,GREEN/CROC,0004507300,2024-08-01,2024-06-01,-,110.00,38.99,43.0,6,11,8,14,39
57,https://www.leathercompany.co.uk/images/products/zoom/1669129377-88098500.jpg,63786 croc,TAN/CROC,0004507400,2024-09-01,2024-06-01,-,110.00,38.99,148.0,3,14,8,18,43
58,https://www.leathercompany.co.uk/images/products/zoom/1727958607-36697100.jpg,antrim,BLACK,0005307800,2024-10-01,2024-10-01,-,129.00,48.99,35.0,0,71,9,5,85
58,https://www.leathercompany.co.uk/images/products/zoom/1727958607-36697100.jpg,antrim,COGNAC,0005308100,2024-10-01,2024-10-01,-,129.00,48.99,21.0,0,16,10,1,27
58,https://www.leathercompany.co.uk/images/products/zoom/1727958607-36697100.jpg,antrim,NAVY,0005308200,2024-10-01,2024-10-01,-,129.00,48.99,42.0,0,43,15,7,65
58,https://www.leathercompany.co.uk/images/products/zoom/1727958607-36697100.jpg,antrim,avio blue,0005307900,2024-10-01,2024-10-01,-,129.00,48.99,24.0,0,9,4,6,19
